% The Solar-SPAM model = based on TIMED SEE data from 22.01.2002 to 24.11.2016 :  
% F(f) = p1*f^2 + p2*f + p3 
% F - photon energy flux,  [W m^-2 nm^-1]
% f == f107 - measured solar radio flux at 10.7 cm,  [10^-22 W m^-2]

%lambda  p1              p2              p3              CC    RMSE            I_aver           std         
143.5    -2.46624207e-10  1.15175318e-07  4.23845795e-05  0.88  1.00877166e-06  5.14436463e-05  2.08673067e-06 
144.5    -1.61278923e-10  8.93582633e-08  4.38438448e-05  0.86  9.81989792e-07  5.12263811e-05  1.90503368e-06 
145.5    -2.75726953e-10  1.38512452e-07  4.32208222e-05  0.89  1.19372564e-06  5.43612645e-05  2.63204993e-06 
146.5    -2.43757781e-10  1.36559581e-07  5.45324615e-05  0.89  1.27366067e-06  6.58465944e-05  2.81850196e-06 
147.5    -2.46147842e-10  1.39066818e-07  7.11427892e-05  0.89  1.35250470e-06  8.26892118e-05  2.90901255e-06 
148.5    -3.12927956e-10  1.56053330e-07  7.20397030e-05  0.87  1.51332205e-06  8.45640463e-05  3.03125629e-06 
149.5    -2.31230729e-10  1.24944106e-07  6.58375866e-05  0.83  1.51364906e-06  7.60927034e-05  2.70456745e-06 
150.5    -2.43791216e-10  1.21205065e-07  7.57760769e-05  0.80  1.52268475e-06  8.54948558e-05  2.54125535e-06 
151.5    -1.94987017e-10  1.16236962e-07  8.38650446e-05  0.80  1.65675848e-06  9.36425949e-05  2.77815471e-06 
152.5    -4.33361801e-10  2.37558655e-07  9.63535070e-05  0.91  2.01495486e-06  1.15925748e-04  4.75487881e-06 
153.5    -1.73871412e-10  1.71988954e-07  1.12191003e-04  0.88  2.21903105e-06  1.28008535e-04  4.69056883e-06 
154.5    -1.16988909e-09  6.16487236e-07  1.70987119e-04  0.93  4.36900801e-06  2.21245683e-04  1.16979781e-05 
155.5    -2.55020760e-10  2.92214578e-07  1.64242591e-04  0.92  3.20494890e-06  1.91592827e-04  7.98751462e-06 
156.5    -4.53027932e-10  2.51428725e-07  1.68458783e-04  0.85  2.85808410e-06  1.89240150e-04  5.41448554e-06 
157.5    -1.72784194e-10  1.48582781e-07  1.57486859e-04  0.77  2.79008511e-06  1.70885866e-04  4.40229704e-06 
158.5    -2.29772147e-10  1.46877406e-07  1.54423418e-04  0.74  2.69140338e-06  1.66974050e-04  3.98430399e-06 
159.5    -9.39400590e-11  1.10698536e-07  1.54968996e-04  0.73  2.59598688e-06  1.65361412e-04  3.81149997e-06 
160.5    -8.39077851e-11  1.26638098e-07  1.71073746e-04  0.77  2.80522066e-06  1.83240058e-04  4.38098305e-06 
161.5    -1.98721268e-10  1.37610016e-07  2.05647262e-04  0.65  3.39322701e-06  2.17600968e-04  4.44555282e-06 
162.5    -4.73652596e-10  2.82618134e-07  2.23170447e-04  0.82  3.76275218e-06  2.46948709e-04  6.60257317e-06 
163.5    -1.55191039e-10  2.30331717e-07  2.39080251e-04  0.83  4.07902394e-06  2.61178201e-04  7.33970917e-06 
164.5    -4.04165128e-10  3.37772150e-07  2.81318936e-04  0.86  4.56771102e-06  3.11644808e-04  8.91739835e-06 
165.5    -7.73823055e-12  2.97227900e-07  4.63250839e-04  0.76  7.93202201e-06  4.94034434e-04  1.22129975e-05 
166.5     4.07530120e-11  8.57496540e-08  3.29404588e-04  0.51  5.05815432e-06  3.38791894e-04  5.87804725e-06 
167.5    -2.04674881e-10  3.39319234e-07  3.67674446e-04  0.81  6.73876290e-06  4.00510703e-04  1.13752735e-05 
168.5    -4.43360209e-10  2.79935936e-07  4.04891772e-04  0.66  6.38829474e-06  4.28748215e-04  8.46866857e-06 
169.5     1.21153174e-10  2.01744392e-07  5.46199225e-04  0.64  8.70736220e-06  5.68582545e-04  1.13197394e-05 
